时间点,队形控制节点3预置弹道经度,队形控制节点3预置弹道纬度,队形控制节点3预置弹道高度,队形控制节点3经度偏移,队形控制节点3纬度偏移,队形控制节点3高度偏移,跟随节点6预置相对距离,跟随节点6实际相对距离,跟随节点6相对距离偏移,跟随节点9预置相对距离,跟随节点9实际相对距离,跟随节点9相对距离偏移
41,74053.03,296444.81,399038.34,0.01,0.00,0.00,9.70,9.78,0.09,4.61,4.62,0.01
42,75857.57,294640.31,399038.34,0.04,0.00,0.00,9.70,9.86,0.16,4.61,4.61,0.00
43,77662.10,292835.81,399038.34,0.01,0.00,0.00,9.70,9.96,0.26,4.61,4.62,0.01
44,79466.63,291031.31,399038.34,0.04,0.00,0.00,9.70,10.04,0.34,4.61,4.61,0.00
45,81271.17,289226.81,399038.34,0.01,0.00,0.00,9.70,10.15,0.45,4.61,4.62,0.01
46,83075.70,287422.31,399038.34,0.04,0.00,0.00,9.70,10.23,0.53,4.61,4.61,0.00
47,84880.24,285617.81,399038.34,0.01,0.00,0.00,9.70,10.35,0.65,4.61,4.62,0.01
48,86684.77,283813.28,399038.34,0.04,0.00,0.00,9.70,10.44,0.74,4.61,4.61,0.00
49,88489.31,282008.78,399038.34,0.01,0.00,0.00,9.70,10.56,0.86,4.61,4.62,0.01
50,90293.84,280204.28,399038.34,0.04,0.00,0.00,9.70,10.65,0.95,4.61,4.61,0.00
51,92098.38,278399.78,399038.34,0.01,0.00,0.00,9.70,10.70,1.00,4.61,4.62,0.01
52,93902.91,276595.28,399038.34,0.04,0.00,0.00,9.70,10.68,0.99,4.61,4.61,0.00
53,95707.45,274790.78,399038.34,0.01,0.00,0.00,9.70,10.65,0.96,4.61,4.62,0.01
54,97511.98,272986.28,399038.34,0.04,0.00,0.00,9.70,10.58,0.88,4.61,4.61,0.00
55,99316.52,271181.75,399038.34,0.01,0.00,0.00,9.70,10.56,0.86,4.61,4.62,0.01
56,101121.05,269377.25,399038.34,0.04,0.00,0.00,9.70,10.56,0.86,4.61,4.61,0.00
57,102925.59,267572.75,399038.34,0.01,0.00,0.00,9.70,10.56,0.86,4.61,4.62,0.01
58,104730.13,265768.25,399038.34,0.04,0.00,0.00,9.70,10.56,0.86,4.61,4.61,0.00
59,106534.66,263963.75,399038.34,0.01,0.00,0.00,9.70,10.56,0.86,4.61,4.62,0.01
60,108339.20,262159.25,399038.34,0.04,0.00,0.00,9.70,10.56,0.86,4.61,4.61,0.00
61,110143.73,260354.73,399038.34,0.01,0.00,0.00,9.70,10.56,0.86,4.61,4.62,0.01
62,111948.27,258550.23,399038.34,0.04,0.00,0.00,9.70,10.56,0.86,4.61,4.61,0.00
63,113752.80,256745.73,399038.34,0.01,0.00,0.00,9.70,10.56,0.86,4.61,4.62,0.01
64,115557.34,254941.22,399038.34,0.00,0.00,0.00,9.70,10.55,0.85,4.61,4.61,0.01
65,117361.87,253136.72,399038.34,0.01,-0.03,0.00,9.70,10.55,0.85,4.61,4.64,0.04
66,119166.41,251332.22,399038.34,0.05,-0.03,0.00,9.70,10.54,0.84,4.61,4.64,0.03
67,120970.94,249527.70,399038.34,0.02,-0.03,0.00,9.70,10.55,0.86,4.61,4.64,0.03
68,122775.48,247723.20,399038.34,0.02,-0.03,0.00,9.70,10.54,0.85,4.61,4.61,0.01
69,124580.01,245918.70,399038.34,0.09,-0.03,0.00,9.70,10.49,0.80,4.61,4.61,-0.00
70,126384.55,244114.20,399038.34,0.06,-0.03,0.00,9.70,10.51,0.82,4.61,4.61,0.00
71,128189.09,242309.69,399038.34,0.03,-0.03,0.00,9.70,10.52,0.83,4.61,4.62,0.01
72,129993.63,240505.19,399038.34,0.03,-0.03,0.00,9.70,10.51,0.81,4.61,4.62,0.01
73,131798.16,238700.69,399038.34,0.03,-0.03,0.00,9.70,10.50,0.80,4.61,4.61,0.01
74,133602.69,236896.17,399038.34,0.03,-0.03,0.00,9.70,10.48,0.79,4.61,4.61,0.00
75,135407.22,235091.67,399038.34,0.03,-0.03,0.00,9.70,10.47,0.77,4.61,4.64,0.03
76,137211.77,233287.17,399038.34,0.03,-0.03,0.00,9.70,10.45,0.76,4.61,4.65,0.04
77,139016.30,231482.67,399038.34,0.03,-0.03,0.00,9.70,10.45,0.75,4.61,4.65,0.04
78,140820.83,229678.16,399038.34,0.03,-0.03,0.00,9.70,10.43,0.74,4.61,4.65,0.04
79,142625.36,227873.66,399038.34,0.03,-0.03,0.00,9.70,10.42,0.72,4.61,4.65,0.04
80,144429.91,226069.16,399038.34,0.03,-0.03,0.00,9.70,10.40,0.70,4.61,4.64,0.04
81,146234.44,224264.66,399038.34,0.03,-0.03,0.00,9.70,10.39,0.70,4.61,4.70,0.10
82,148038.97,222460.14,399038.34,0.03,-0.03,0.00,9.70,10.38,0.68,4.61,4.69,0.08
83,149843.50,220655.64,399038.34,0.03,-0.03,0.00,9.70,10.36,0.67,4.61,4.69,0.08
84,151648.05,218851.14,399038.34,0.03,-0.03,0.00,9.70,10.35,0.65,4.61,4.73,0.12
85,153452.58,217046.63,399038.34,0.03,-0.03,0.00,9.70,10.35,0.65,4.61,4.68,0.07
86,155257.11,215242.13,399038.34,0.03,-0.03,0.00,9.70,10.34,0.64,4.61,4.79,0.18
87,157061.64,213437.63,399038.34,0.03,-0.03,0.00,9.70,10.33,0.63,4.61,4.68,0.07
88,158866.19,211633.13,399038.34,0.03,-0.03,0.00,9.70,10.31,0.62,4.61,4.78,0.18
89,160670.72,209828.61,399038.34,0.03,-0.03,0.00,9.70,10.29,0.60,4.61,4.71,0.10
90,162475.25,208024.11,399038.34,0.03,-0.03,0.00,9.70,10.29,0.60,4.61,4.75,0.15
91,164279.78,206219.61,399038.34,0.03,-0.03,0.00,9.70,10.29,0.59,4.61,4.75,0.14
92,166084.31,204415.09,399038.34,0.03,-0.03,0.00,9.70,10.27,0.57,4.61,4.75,0.14
93,167888.86,202610.59,399038.34,0.03,-0.03,0.00,9.70,10.28,0.58,4.61,4.76,0.16
94,169693.39,200806.09,399038.34,0.03,-0.03,0.00,9.70,10.26,0.57,4.61,4.76,0.15
95,171497.92,199001.59,399038.34,0.03,-0.03,0.00,9.70,10.25,0.55,4.61,4.76,0.15
96,173302.45,197197.08,399038.34,0.03,-0.03,0.00,9.70,10.23,0.54,4.61,4.82,0.21
97,175107.00,195392.58,399038.34,0.03,-0.03,0.00,9.70,10.24,0.55,4.61,4.85,0.24
98,176911.53,193588.08,399038.34,0.03,-0.03,0.00,9.70,10.23,0.53,4.61,4.79,0.18
99,178716.06,191783.56,399038.34,0.03,-0.03,0.00,9.70,10.21,0.52,4.61,4.83,0.22
